12/01/2018 03:42,,
Código,,Descrição
01,Animais vivos,
0101,"Cavalos, asininos e muares, vivos.",
01012,- Cavalos:,
0102,Animais vivos da espécie bovina.,
01022,- Bovinos domésticos:,
010221,-- Reprodutores de raça pura,
010229,-- Outros,
0102291,Para reprodução,
01023,- Búfalos:,
010231,-- Reprodutores de raça pura,
010239,-- Outros,
0102391,Para reprodução,
0103,Animais vivos da espécie suína.,
01039,- Outros:,
0104,Animais vivos das espécies ovina e caprina.,
010410,- Ovinos,
0104101,Reprodutores de raça pura,
010420,- Caprinos,
0105,"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos.",
01051,- De peso não superior a 185 g:,
010511,-- Galos e galinhas,
01059,- Outros:,
0106,Outros animais vivos.,
01061,- Mamíferos:,
01063,- Aves:,
010633,-- Avestruzes; emus (Dromaius novaehollandiae),
01064,- Insetos:,
02,"Carnes e miudezas, comestíveis",
0201,"Carnes de animais da espécie bovina, frescas ou refrigeradas.",
020120,- Outras peças não desossadas,
0202,"Carnes de animais da espécie bovina, congeladas.",
020220,- Outras peças não desossadas,
0203,"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas.",
02031,- Frescas ou refrigeradas:,
02032,- Congeladas:,
0204,"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas.",
02042,"- Outras carnes de animais da espécie ovina, frescas ou refrigeradas:",
02044,"- Outras carnes de animais da espécie ovina, congeladas:",
0206,"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.",
02062,"- Da espécie bovina, congeladas:",
020629,-- Outras,
02064,"- Da espécie suína, congeladas:",
0207,"Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05."
02071,- De galos e de galinhas:
02072,- De peruas e de perus:
02074,- De patos:
02075,- De gansos:
0208,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas."
0209,"Toucinho sem partes magras, gorduras de porco e de aves, não fundidasnem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados."
020910,- De porco
0209101,Toucinho
0209102,Gordura
0210,"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas."
02101,- Carnes da espécie suína:
02109,"- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas:"
03,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos"
0301,Peixes vivos.
03011,- Peixes ornamentais:
030111,-- De água doce
03019,- Outros peixes vivos:
030191,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)"
030192,-- Enguias (Anguilla spp.)
030193,"-- Carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
030194,"-- Atuns azuis (Thunnus thynnus, Thunnus orientalis)"
030195,-- Atum azul do Sul (Thunnus maccoyii)
030199,-- Outros
0301991,Para reprodução
0301999,Outros
0302,"Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04."
03021,"- Salmonídeos, exceto fígados, ovas e sêmen:"
