12/01/2018 03:42,,
Código,,Descrição
03056,"- Peixes salgados, não secos nem defumados e peixes em salmoura, exceto desperdícios comestíveis de peixes:"
03057,"- Barbatanas, cabeças, caudas, bexigas natatórias e outros desperdícios comestíveis de peixes:"
0306,"Crustáceos, com ou sem carapaça, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; crustáceos, com ou sem carapaça,defumados, mesmo cozidos antes ou durante a defumação; crustáceos comcarapaça, cozidos em água ou vapor, mesmo ref"
03061,- Congelados:
03062,- Não congelados:
0307,"Moluscos, com ou sem concha, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; moluscos, com ou sem concha, defumados, mesmo cozidos antes ou durante a defumação; farinhas, pós e pellets de moluscos, exceto crustáceos, próprios p"
03071,- Ostras:
03072,"- Vieiras e outros mariscos dos gêneros Pecten, Chlamys ou Placopecten:"
03073,"- Mexilhões (Mytilus spp., Perna spp.):"
03074,"- Sépias (Sepia officinalis, Rossia macrosoma, Sepiola spp.); lulas (Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp.):"
03075,- Polvos (Octopus spp.):
03077,"- Ameijoas, berbigões e arcas (famílias Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae e Veneridae):"
03078,- Abalones (Haliotis spp.):
03079,"- Outros, incluindo as farinhas, pós e pellets, próprios para alimentação humana:"
0308,"INVERTEBRADOS AQUáTICOS,"
03081,"- Pepinos-do-mar (Stichopus japonicus, Holothurioidea):"
03082,"- Ouriços-do-mar (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echichinus esculentus):"
04,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos"
0401,"Leite e creme de leite, não concentrados nem adicionados de açúcar oude outros edulcorantes."
0402,"Leite e creme de leite, concentrados ou adicionados de açúcar ou de outros edulcorantes."
04022,"- Em pó, grânulos ou outras formas sólidas, com um teor, em peso, de matérias gordas, superior a 1,5 %:"
04029,- Outros:
0403,"Leitelho, leite e creme de leite coalhados, iogurte, quefir e outros leites e cremes de leite fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizadosou adicionados de frutas ou de cacau."
0404,"Soro de leite, mesmo concentrado ou adicionado de açúcar ou de outrosedulcorantes; produtos constituídos por componentes naturais do leite, mesmo adicionados de açúcar ou de outros edulcorantes, não especificados nem compreendidos noutras posições."
0405,Manteiga e outras matérias gordas provenientes do leite; pasta de espalhar (pasta de barrar) de produtos provenientes do leite.
0406,Queijos e requeijão.
0407,"Ovos de aves, com casca, frescos, conservados ou cozidos."
04071,- Ovos fertilizados destinados à incubação:
04072,- Outros ovos frescos:
0408,"Ovos de aves, sem casca, e gemas de ovos, frescos, secos, cozidos em água ou vapor, moldados, congelados ou conservados de outro modo, mesmo adicionados de açúcar ou de outros edulcorantes."
04081,- Gemas de ovos:
04089,- Outros:
05,"Outros produtos de origem animal, não especificados nem compreendidosnoutros Capítulos"
0502,"Cerdas de porco ou de javali; pelos de texugo e outros pelos para escovas, pincéis e artigos semelhantes; desperdícios destas cerdas e pelos."
0505,"Peles e outras partes de aves, com as suas penas ou penugem, penas e partes de penas (mesmo aparadas), penugem, em bruto ou simplesmente limpas, desinfetadas ou preparadas tendo em vista a sua conservação; póse desperdícios de penas ou de partes de pena"
0506,"Ossos e núcleos córneos, em bruto, desengordurados ou simplesmente preparados (mas não cortados sob forma determinada), acidulados ou degelatinados; pós e desperdícios destas matérias."
0507,"Marfim, carapaças de tartaruga, barbas, incluindo as franjas, de baleia ou de outros mamíferos marinhos, chifres, galhadas, cascos, unhas, garras e bicos, em bruto ou simplesmente preparados, mas não cortados em forma determinada; pós e desperdícios des"
0511,"Produtos de origem animal, não especificados nem compreendidos noutras posições; animais mortos dos Capítulos 1 ou 3, impróprios para alimentação humana."
05119,- Outros:
06,Plantas vivas e produtos de floricultura
0601,"Bulbos, tubérculos, raízes tuberosas, rebentos e rizomas, em repouso vegetativo, em vegetação ou em flor; mudas, plantas e raízes de chicória, exceto as raízes da posição 12.12."
0602,"Outras plantas vivas (incluindo as suas raízes), estacas e enxertos; micélios de cogumelos."
0603,"Flores e botões de flores, cortados, para buquês ou para ornamentação, frescos, secos, branqueados, tingidos, impregnados ou preparados de outro modo."
06031,- Frescos:
0604,"Folhagem, folhas, ramos e outras partes de plantas, sem flores nem botões de flores, e ervas, musgos e líquenes, para buquês ou para ornamentação, frescos, secos, branqueados, tingidos, impregnados ou preparados de outro modo."
07,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis"
0701,"Batatas, frescas ou refrigeradas."
0703,"Cebolas, chalotas, alhos, alhos-porros e outros produtos hortícolas aliáceos, frescos ou refrigerados."
0704,"Couves, couve-flor, repolho ou couve frisada, couve-rábano e produtoscomestíveis semelhantes do gênero Brassica, frescos ou refrigerados."
0705,"Alfaces (Lactuca sativa) e chicórias (Cichorium spp.), frescas ou refrigeradas."
07051,- Alfaces:
07052,- Chicórias:
0706,"Cenouras, nabos, beterrabas para salada, cercefi, aipo-rábano, rabanetes e raízes comestíveis semelhantes, frescos ou refrigerados."
0708,"Legumes de vagem, com ou sem vagem, frescos ou refrigerados."
0709,"Outros produtos hortícolas, frescos ou refrigerados."
07095,- Cogumelos e trufas:
07099,- Outros:
0710,"Produtos hortícolas, não cozidos ou cozidos em água ou vapor, congelados."
07102,"- Legumes de vagem, com ou sem vagem:"
0711,"Produtos hortícolas conservados transitoriamente (por exemplo, com gás sulfuroso ou água salgada, sulfurada ou adicionada de outras substâncias destinadas a assegurar transitoriamente a sua conservação), mas impróprios para alimentação nesse estado."
07115,- Cogumelos e trufas:
0712,"Produtos hortícolas secos, mesmo cortados em pedaços ou fatias, ou ainda triturados ou em pó, mas sem qualquer outro preparo."
07123,"- Cogumelos, orelhas-de-judas (Auricularia spp.), tremelas (Tremella spp.) e trufas:"
0713,"Legumes de vagem, secos, em grão, mesmo pelados ou partidos."
07133,"- Feijões (Vigna spp., Phaseolus spp.):"
0714,"Raízes de mandioca, de araruta e de salepo, tupinambos, batatas-docese raízes ou tubérculos semelhantes, com elevado teor de fécula ou de inulina, frescos, refrigerados, congelados ou secos, mesmo cortados empedaços ou em pellets; medula de sagueiro."
08,Frutas; cascas de frutos cítricos e de melões
0801,"Cocos, castanha-do-pará e castanha de caju, frescos ou secos, com ou sem casca ou pelados."
08011,- Cocos:
08012,- Castanha-do-pará:
08013,- Castanha de caju:
0802,"Outras frutas de casca rija, frescas ou secas, com ou sem casca ou peladas."
08021,- Amêndoas:
08022,- Avelãs (Corylus spp.):
08023,- Nozes:
08024,- Castanhas (Castanea spp.):
08025,- Pistácios:
08026,- Nozes de macadâmia:
0803,"Bananas, incluindo as bananas-da-terra, frescas ou secas."
0804,"Tâmaras, figos, abacaxis (ananases), abacates, goiabas, mangas e mangostões, frescos ou secos."
0805,"Frutos cítricos, frescos ou secos."
0806,Uvas frescas ou secas (passas).
0807,"Melões, melancias e mamões (papaias), frescos."
08071,- Melões e melancias:
0808,"Maçãs, peras e marmelos, frescos."
0809,"Damascos, cerejas, pêssegos (incluindo as nectarinas), ameixas e abrunhos, frescos."
08092,- Cerejas:
0810,Outras frutas frescas.
0811,"Frutas, não cozidas ou cozidas em água ou vapor, congeladas, mesmo adicionadas de açúcar ou de outros edulcorantes."
0812,"Frutas conservadas transitoriamente (por exemplo, com gás sulfuroso ou água salgada, sulfurada ou adicionada de outras substâncias destinadas a assegurar transitoriamente a sua conservação), mas impróprias para alimentação nesse estado."
0813,"Frutas secas, exceto as das posições 08.01 a 08.06; misturas de frutas secas ou de frutas de casca rija do presente Capítulo."
09,"Café, chá, mate e especiarias"
0901,"Café, mesmo torrado ou descafeinado; cascas e películas de café; sucedâneos do café que contenham café em qualquer proporção."
09011,- Café não torrado:
09012,- Café torrado:
0902,"Chá, mesmo aromatizado."
0904,"Pimenta (do gênero Piper); pimentões e pimentas dos gêneros Capsicum ou Pimenta, secos ou triturados ou em pó."
09041,- Pimenta (do gênero Piper):
09042,- Pimentões e pimentas dos gêneros Capsicum ou Pimenta:
0905,Baunilha.
0906,Canela e flores de caneleira.
09061,- Não trituradas nem em pó:
0907,"Cravo-da-índia (frutos, flores e pedúnculos)."
0908,"Noz-moscada, macis, amomos e cardamomos."
09081,- Noz-moscada:
09082,- Macis:
09083,- Amomos e cardamomos:
0909,"Sementes de anis (erva-doce), badiana (anis-estrelado), funcho, coentro, cominho ou alcaravia; bagas de zimbro."
09092,- Sementes de coentro:
09093,- Sementes de cominho:
09096,"- Sementes de anis (erva-doce), badiana (anis-estrelado), funcho ou alcaravia; bagas de zimbro:"
0910,"Gengibre, açafrão, açafrão-da-terra, tomilho, louro, caril e outras especiarias."
09101,- Gengibre:
09109,- Outras especiarias:
10,Cereais
1001,Trigo e mistura de trigo com centeio (méteil).
10011,- Trigo duro:
10019,- Outros:
1002,Centeio.
1003,Cevada.
1004,Aveia.
1005,Milho.
1006,Arroz.
1007,Sorgo de grão.
1008,"Trigo mourisco, painço e alpiste; outros cereais."
10082,- Painço:
11,Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo
1102,"Farinhas de cereais, exceto de trigo ou de mistura de trigo com centeio (méteil)."
1103,"Grumos, sêmolas e pellets, de cereais."
11031,- Grumos e sêmolas:
1104,"Grãos de cereais trabalhados de outro modo (por exemplo, descascados,esmagados, em flocos, em pérolas, cortados ou partidos), com exclusãodo arroz da posição 10.06; germes de cereais, inteiros, esmagados, emflocos ou moídos."
11041,- Grãos esmagados ou em flocos:
11042,"- Outros grãos trabalhados (por exemplo, descascados, em pérolas, cortados ou partidos):"
1105,"Farinha, sêmola, pó, flocos, grânulos e pellets, de batata."
1106,"Farinhas, sêmolas e pós, dos legumes de vagem, secos, da posição 07.13, de sagu ou das raízes ou tubérculos da posição 07.14 e dos produtosdo Capítulo 8."
1107,"Malte, mesmo torrado."
1108,Amidos e féculas; inulina.
11081,- Amidos e féculas:
12,"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens"
1201,"Soja, mesmo triturada."
1202,"Amendoins não torrados nem de outro modo cozidos, mesmo descascados ou triturados."
12024,- Outros:
1205,"Sementes de nabo silvestre ou de colza, mesmo trituradas."
1207,"Outras sementes e frutos oleaginosos, mesmo triturados."
12072,- Sementes de algodão:
12079,- Outros:
1208,"Farinhas de sementes ou de frutos oleaginosos, exceto farinha de mostarda."
1209,"Sementes, frutos e esporos, para semeadura."
12092,- Sementes de plantas forrageiras:
12099,- Outros:
1210,"Cones de lúpulo, frescos ou secos, mesmo triturados ou moídos ou em pellets; lupulina."
1211,"Plantas, partes de plantas, sementes e frutos, das espécies utilizadas principalmente em perfumaria, medicina ou como inseticidas, parasiticidas e semelhantes, frescos ou secos, mesmo cortados, triturados ou em pó."
1212,"Alfarroba, algas, beterraba sacarina e cana-de-açúcar, frescas, refrigeradas, congeladas ou secas, mesmo em pó; caroços e amêndoas de frutos e outros produtos vegetais (incluindo as raízes de chicória não torradas, da variedade Cichorium intybus sativum"
12122,- Algas:
12129,- Outros:
1214,"Rutabagas, beterrabas forrageiras, raízes forrageiras, feno, alfafa (luzerna), trevo, sanfeno, couves forrageiras, tremoço, ervilhaca e produtos forrageiros semelhantes, mesmo em pellets."
13,"Gomas, resinas e outros sucos e extratos vegetais"
1301,"Goma-laca; gomas, resinas, gomas-resinas e oleorresinas (bálsamos, por exemplo), naturais."
1302,"Sucos e extratos vegetais; matérias pécticas, pectinatos e pectatos; ágar-ágar e outros produtos mucilaginosos e espessantes, derivados dosvegetais, mesmo modificados."
13021,- Sucos e extratos vegetais:
13023,"- Produtos mucilaginosos e espessantes, derivados dos vegetais, mesmomodificados:"
14,"Matérias para entrançar e outros produtos de origem vegetal, não especificados nem compreendidos noutros Capítulos"
1401,"Matérias vegetais das espécies principalmente utilizadas em cestaria ou espartaria (por exemplo, bambus, rotins, canas, juncos, vimes, ráfia, palha de cereais limpa, branqueada ou tingida, casca de tília)."
1404,Produtos vegetais não especificados nem compreendidos noutras posições.
15,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal
1501,"Gorduras de porco (incluindo a banha) e gorduras de aves, exceto as das posições 02.09 ou 15.03."
1502,"Gorduras de animais das espécies bovina, ovina ou caprina, exceto as da posição 15.03."
1504,"Gorduras, óleos e respectivas frações, de peixes ou de mamíferos marinhos, mesmo refinados, mas não quimicamente modificados."
1507,"Óleo de soja e respectivas frações, mesmo refinados, mas não quimicamente modificados."
1508,"Óleo de amendoim e respectivas frações, mesmo refinados, mas não quimicamente modificados."
1509,"Azeite de oliva (oliveira) e respectivas frações, mesmo refinados, mas não quimicamente modificados."
1511,"Óleo de dendê e respectivas frações, mesmo refinados, mas não quimicamente modificados."
1512,"Óleos de girassol, de cártamo ou de algodão, e respectivas frações, mesmo refinados, mas não quimicamente modificados."
15121,- Óleos de girassol ou de cártamo e respectivas frações:
15122,- Óleo de algodão e respectivas frações:
1513,"Óleos de coco (óleo de copra), de amêndoa de palma (palmiste) ou de babaçu, e respectivas frações, mesmo refinados, mas não quimicamente modificados."
15131,- Óleo de coco (óleo de copra) e respectivas frações:
15132,"- Óleos de amêndoa de palma (palmiste) ou de babaçu, e respectivas frações:"
1514,"Óleos de nabo silvestre, de colza ou de mostarda, e respectivas frações, mesmo refinados, mas não quimicamente modificados."
15141,"- Óleos de nabo silvestre ou de colza com baixo teor de ácido erúcico, e respectivas frações:"
15149,- Outros:
1515,"Outras gorduras e óleos vegetais (incluindo o óleo de jojoba) e respectivas frações, fixos, mesmo refinados, mas não quimicamente modificados."
15151,- Óleo de linhaça (sementes de linho) e respectivas frações:
15152,- Óleo de milho e respectivas frações:
1516,"Gorduras e óleos animais ou vegetais e respectivas frações, parcial ou totalmente hidrogenados, interesterificados, reesterificados ou elaidinizados, mesmo refinados, mas não preparados de outro modo."
1517,"Margarina; misturas ou preparações alimentícias de gorduras ou de óleos animais ou vegetais ou de frações das diferentes gorduras ou óleos do presente Capítulo, exceto as gorduras e óleos alimentícios e respectivas frações da posição 15.16."
1521,"Ceras vegetais (exceto os triglicéridos), ceras de abelha ou de outros insetos e espermacete, mesmo refinados ou corados."
16,"Preparações de carne, de peixes ou de crustáceos, de moluscos ou de outros invertebrados aquáticos"
1602,"Outras preparações e conservas de carne, de miudezas ou de sangue."
16023,- De aves da posição 01.05:
16024,- Da espécie suína:
1604,Preparações e conservas de peixes; caviar e seus sucedâneos preparados a partir de ovas de peixe.
16041,"- Peixes inteiros ou em pedaços, exceto peixes picados:"
16043,- Caviar e seus sucedâneos:
1605,"Crustáceos, moluscos e outros invertebrados aquáticos, preparados ou em conservas."
16052,- Camarões:
16055,- Moluscos:
16056,- Outros invertebrados aquáticos:
17,Açúcares e produtos de confeitaria
1701,"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido."
17011,- Açúcares brutos sem adição de aromatizantes ou de corantes:
17019,- Outros:
1702,"Outros açúcares, incluindo a lactose, maltose, glicose e frutose (levulose), quimicamente puras, no estado sólido; xaropes de açúcares, semadição de aromatizantes ou de corantes; sucedâneos do mel, mesmo misturados com mel natural; açúcares e melaços ca"
17021,- Lactose e xarope de lactose:
1703,Melaços resultantes da extração ou refinação do açúcar.
1704,Produtos de confeitaria sem cacau (incluindo o chocolate branco).
18,Cacau e suas preparações
1803,"Pasta de cacau, mesmo desengordurada."
1806,Chocolate e outras preparações alimentícias que contenham cacau.
18063,"- Outros, em tabletes, barras e paus:"
19,"Preparações à base de cereais, farinhas, amidos, féculas ou leite; produtos de pastelaria"
1901,"Extratos de malte; preparações alimentícias de farinhas, grumos, sêmolas, amidos, féculas ou de extratos de malte, que não contenham cacau ou que contenham menos de 40 %, em peso, de cacau, calculado sobre umabase totalmente desengordurada, não especifi"
1902,"Massas alimentícias, mesmo cozidas ou recheadas (de carne ou de outras substâncias) ou preparadas de outro modo, tais como espaguete, macarrão, aletria, lasanha, nhoque, ravioli e canelone; cuscuz, mesmo preparado."
19021,"- Massas alimentícias não cozidas, nem recheadas, nem preparadas de outro modo:"
1904,"Produtos à base de cereais, obtidos por expansão ou por torrefação (flocos de milho (corn flakes), por exemplo); cereais (exceto milho) em grãos ou sob a forma de flocos ou de outros grãos trabalhados (com exceção da farinha, do grumo e da sêmola), pré-"
1905,"Produtos de padaria, pastelaria ou da indústria de bolachas e biscoitos, mesmo adicionados de cacau; hóstias, cápsulas vazias para medicamentos, obreias, pastas secas de farinha, amido ou fécula, em folhas, e produtos semelhantes."
19053,"- Bolachas e biscoitos, adicionados de edulcorante; waffles e wafers:"
20,"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas"
2001,"Produtos hortícolas, frutas e outras partes comestíveis de plantas, preparados ou conservados em vinagre ou em ácido acético."
2002,"Tomates preparados ou conservados, exceto em vinagre ou em ácido acético."
2003,"Cogumelos e trufas, preparados ou conservados, exceto em vinagre ou em ácido acético."
2004,"Outros produtos hortícolas preparados ou conservados, exceto em vinagre ou em ácido acético, congelados, com exceção dos produtos da posição 20.06."
2005,"Outros produtos hortícolas preparados ou conservados, exceto em vinagre ou em ácido acético, não congelados, com exceção dos produtos da posição 20.06."
20055,"- Feijões (Vigna spp., Phaseolus spp.):"
20059,- Outros produtos hortícolas e misturas de produtos hortícolas:
2007,"Doces, geleias, marmelades, purês e pastas de frutas, obtidos por cozimento, com ou sem adição de açúcar ou de outros edulcorantes."
20079,- Outros:
2008,"Frutas e outras partes comestíveis de plantas, preparadas ou conservadas de outro modo, com ou sem adição de açúcar ou de outros edulcorantes ou de álcool, não especificadas nem compreendidas noutras posições."
20081,"- Frutas de casca rija, amendoins e outras sementes, mesmo misturadosentre si:"
20089,"- Outras, incluindo as misturas, com exclusão das da subposição 2008.19:"
2009,"Sucos (sumos) de frutas (incluindo os mostos de uvas) ou de produtos hortícolas, não fermentados, sem adição de álcool, com ou sem adição de açúcar ou de outros edulcorantes."
20091,- Suco (sumo) de laranja:
20092,- Suco (sumo) de toranja e de pomelo:
20093,- Suco (sumo) de qualquer outro fruto cítrico:
20094,- Suco (sumo) de abacaxi (ananás):
20096,- Suco (sumo) de uva (incluindo os mostos de uvas):
20097,- Suco (sumo) de maçã:
20098,- Suco (sumo) de qualquer outra fruta ou produto hortícola:
21,Preparações alimentícias diversas
2101,"Extratos, essências e concentrados de café, chá ou mate e preparaçõesà base destes produtos ou à base de café, chá ou mate; chicória torrada e outros sucedâneos torrados do café e respectivos extratos, essências e concentrados."
21011,"- Extratos, essências e concentrados de café e preparações à base destes extratos, essências ou concentrados ou à base de café:"
2102,"Leveduras (vivas ou mortas); outros microrganismos monocelulares mortos (exceto as vacinas da posição 30.02); pós para levedar, preparados."
2103,Preparações para molhos e molhos preparados; condimentos e temperos compostos; farinha de mostarda e mostarda preparada.
2104,Preparações para caldos e sopas; caldos e sopas preparados; preparações alimentícias compostas homogeneizadas.
2106,Preparações alimentícias não especificadas nem compreendidas noutras posições.
22,"Bebidas, líquidos alcoólicos e vinagres"
2201,"Águas, incluindo as águas minerais, naturais ou artificiais, e as águas gaseificadas, não adicionadas de açúcar ou de outros edulcorantes nem aromatizadas; gelo e neve."
2202,"Águas, incluindo as águas minerais e as águas gaseificadas, adicionadas de açúcar ou de outros edulcorantes ou aromatizadas e outras bebidas não alcoólicas, exceto sucos (sumos) de frutas ou de produtos hortícolas, da posição 20.09."
2204,"Vinhos de uvas frescas, incluindo os vinhos enriquecidos com álcool; mostos de uvas, excluindo os da posição 20.09."
22042,- Outros vinhos; mostos de uvas cuja fermentação tenha sido impedida ou interrompida por adição de álcool:
2205,Vermutes e outros vinhos de uvas frescas aromatizados por plantas ou substâncias aromáticas.
2207,"Álcool etílico não desnaturado, com um teor alcoólico, em volume, igual ou superior a 80 % vol; álcool etílico e aguardentes, desnaturados,com qualquer teor alcoólico."
2208,"Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas."
23,Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais
2301,"Farinhas, pós e pellets, de carnes, de miudezas, de peixes ou crustáceos, de moluscos ou de outros invertebrados aquáticos, impróprios paraalimentação humana; torresmos."
2302,"Sêmeas, farelos e outros resíduos, mesmo em pellets, da peneiração, moagem ou de outros tratamentos de cereais ou de leguminosas."
2303,"Resíduos da fabricação do amido e resíduos semelhantes, polpas de beterraba, bagaços de cana-de-açúcar e outros desperdícios da indústria do açúcar, borras e desperdícios da indústria da cerveja e das destilarias, mesmo em pellets."
2306,"Tortas e outros resíduos sólidos, mesmo triturados ou em pellets, da extração de gorduras ou óleos vegetais, exceto os das posições 23.04 e23.05."
23064,- De sementes de nabo silvestre ou de colza:
2309,Preparações dos tipos utilizados na alimentação de animais.
24,Tabaco e seus sucedâneos manufaturados
2401,Tabaco não manufaturado; desperdícios de tabaco.
2402,"Charutos, cigarrilhas e cigarros, de tabaco ou dos seus sucedâneos."
2403,"Outros produtos de tabaco e seus sucedâneos, manufaturados; tabaco ""homogeneizado"" ou ""reconstituído""; extratos e molhos de tabaco."
24031,"- Tabaco para fumar, mesmo que contenha sucedâneos de tabaco em qualquer proporção:"
24039,- Outros:
25,"Sal; enxofre; terras e pedras; gesso, cal e cimento"
2504,Grafita natural.
2505,"Areias naturais de qualquer espécie, mesmo coradas, exceto areias metalíferas do Capítulo 26."
2506,"Quartzo (exceto areias naturais); quartzitos, mesmo desbastados ou simplesmente cortados a serra ou por outro meio, em blocos ou placas de forma quadrada ou retangular."
